Time,Duration,SrcDevice,DstDevice,Protocol,SrcPort,DstPort,SrcPackets,DstPackets,SrcBytes,DstBytes
481986,0,Comp296454,Comp576990,6,Port57199,Port23118,0,3,0,1026
481986,0,Comp296454,Comp576990,6,Port31345,Port23118,0,4,0,229
481986,0,Comp296454,Comp576990,6,Port70142,Port23118,0,5,0,1131
481986,0,Comp296454,Comp576990,6,Port80904,Port23118,0,4,0,229
481986,0,Comp296454,Comp576990,6,Port53056,Port23118,0,4,0,1078
481986,0,Comp296454,Comp576990,6,Port15090,Port23118,0,3,0,177
481986,0,Comp296454,Comp576990,6,Port48697,Port23118,0,4,0,1078
481986,0,Comp296454,Comp576990,6,Port68904,Port23118,0,4,0,229
481986,0,Comp296454,Comp576990,6,Port33243,Port23118,0,3,0,177
481986,0,Comp296454,Comp576990,6,Port19833,Port23118,0,4,0,1078
481986,0,Comp296454,Comp576990,6,Port23134,Port23118,0,3,0,177
481986,0,Comp296454,Comp576990,6,Port77368,Port23118,0,3,0,1026
481986,0,Comp296454,Comp576990,6,Port35133,Port23118,0,3,0,177
481986,0,Comp296454,Comp576990,6,Port39906,Port23118,0,3,0,1026
481986,0,Comp296454,Comp576990,6,Port96415,Port23118,0,3,0,177
481986,0,Comp296454,Comp576990,6,Port37535,Port23118,0,3,0,177
481986,0,Comp296454,Comp576990,6,Port90033,Port23118,0,3,0,1026
481986,0,Comp296454,Comp576990,6,Port03320,Port23118,0,4,0,229
481986,0,Comp296454,Comp576990,6,Port93861,Port23118,0,3,0,1026
481986,0,Comp296454,Comp576990,6,Port63418,Port23118,0,4,0,229
481986,0,Comp296454,Comp576990,6,Port32257,Port23118,0,3,0,177
481986,0,Comp296454,Comp576990,6,Port28011,Port23118,0,4,0,1078
481986,0,Comp296454,Comp576990,6,Port20206,Port23118,0,4,0,1072
481986,0,Comp296454,Comp576990,6,Port03914,Port23118,0,4,0,229
481986,0,Comp296454,Comp576990,6,Port99050,Port23118,0,3,0,177
481986,0,Comp326796,Comp872324,17,Port70567,427,0,1,0,416
481986,0,Comp326796,Comp365371,17,Port70567,427,0,1,0,335
481986,0,Comp326796,Comp664636,17,Port70567,427,0,1,0,363
481986,0,Comp326796,Comp055377,17,Port70567,427,0,1,0,364
481986,0,Comp326796,Comp786294,17,Port70567,427,0,1,0,372
481986,0,Comp326796,Comp961016,17,Port70567,427,0,1,0,385
481986,0,Comp326796,Comp352684,17,Port70567,427,0,1,0,346
481986,0,Comp326796,Comp653963,17,Port70567,427,0,1,0,351
481986,0,Comp326796,Comp808342,17,Port70567,427,0,1,0,369
481986,0,Comp326796,Comp538245,17,Port70567,427,0,1,0,369
481986,0,Comp326796,Comp168830,17,Port70567,427,0,1,0,354
481986,0,Comp326796,Comp678035,17,Port70567,427,0,1,0,422
481986,0,Comp326796,Comp784550,17,Port70567,427,0,1,0,354
481986,0,Comp326796,Comp930437,17,Port70567,427,0,1,0,364
481986,0,Comp326796,Comp680073,17,Port70567,427,0,1,0,364
481986,0,Comp416558,Comp275646,17,Port70947,53,1,0,63,0
481986,0,Comp416558,Comp275646,17,Port03773,53,1,0,63,0
481986,0,Comp903549,Comp275646,17,Port59815,53,1,0,69,0
481986,0,Comp751733,Comp275646,17,Port64281,53,1,0,56,0
481986,0,Comp751733,Comp275646,17,Port07064,53,1,0,68,0
481986,0,Comp751733,Comp275646,17,Port96034,53,1,0,65,0
481986,0,Comp751733,Comp275646,17,Port18849,53,1,0,66,0
481986,0,Comp751733,Comp275646,17,Port24243,53,1,0,79,0
481986,0,Comp364219,Comp576031,17,Port66791,514,1,0,1321,0
481986,0,Comp370082,Comp275646,17,Port24841,53,1,0,64,0
481986,0,Comp370082,Comp275646,17,Port34138,53,1,0,60,0
481986,0,Comp163154,Comp275646,17,Port46987,53,1,0,65,0
481986,0,Comp535299,Comp275646,17,Port98052,53,1,0,65,0
481986,0,Comp202767,Comp857132,17,Port29942,88,1,0,262,0
481986,0,Comp191892,Comp576031,17,Port57087,514,1,0,229,0
481986,0,Comp566995,Comp275646,17,Port03421,53,1,0,74,0
481986,0,Comp566995,Comp275646,17,Port95882,53,1,0,74,0
481986,0,Comp566995,Comp275646,17,Port64455,53,1,0,73,0
481986,0,Comp184857,Comp275646,17,Port67074,53,1,0,64,0
481986,0,Comp184857,Comp275646,17,Port37843,53,1,0,62,0
481986,0,Comp184857,Comp275646,17,Port61643,53,1,0,64,0
481986,0,Comp790875,Comp186884,6,Port43074,443,0,21,0,3770
481986,0,Comp612272,Comp393033,6,Port74393,443,0,10,0,6315
481986,0,Comp251954,Comp576031,17,Port81213,514,9,0,4464,0
481986,0,Comp055891,Comp275646,17,Port08546,53,1,0,60,0
481986,0,Comp055891,Comp275646,17,Port96855,53,1,0,64,0
481986,0,Comp294690,ActiveDirectory,17,Port25896,389,1,0,236,0
481986,0,Comp261303,Comp387111,17,Port12950,53,1,0,65,0
481986,0,Comp817046,Comp647860,17,Port63533,427,0,1,0,339
481986,0,Comp817046,Comp583400,17,Port63533,427,0,1,0,377
481986,0,Comp817046,Comp117059,17,Port63533,427,0,1,0,339
481986,0,Comp817046,Comp830116,17,Port63533,427,0,1,0,346
481986,0,Comp817046,Comp790845,17,Port63533,427,0,1,0,350
481986,0,Comp817046,Comp960115,17,Port63533,427,0,1,0,363
481986,0,Comp817046,Comp081763,17,Port63533,427,0,1,0,364
481986,0,Comp099335,Comp576031,17,Port01975,514,1,0,310,0
481986,0,Comp769752,Comp275646,17,Port63713,53,1,0,59,0
481986,0,Comp677200,Comp576031,17,Port17603,514,1,0,1317,0
481986,0,Comp695240,Comp576031,17,Port06951,514,3,0,1241,0
481986,0,Comp066267,Comp275646,17,Port07000,53,1,0,66,0
481986,0,Comp066267,Comp275646,17,Port18421,53,1,0,66,0
481986,0,Comp737374,ActiveDirectory,17,Port63483,389,1,0,192,0
481986,0,Comp737374,Comp275646,17,Port37915,53,1,0,74,0
481986,0,Comp737374,Comp275646,17,Port28611,53,1,0,99,0
